age,slope,dem_cut,diff
55,-0.01568521297429498,-3.5015841942356576,NA
60,-0.02551510059433741,-3.8808072541337215,NA
65,-0.021056704010685663,-3.8808072541337215,NA
70,-0.07075520469929135,-4.267064694276159,11.727723234862566
